Ort;Ort-Art;Insgesamt;Pkw;Lkw;Zugmaschinen;Kraftraeder
Stendal;Landkreis;79816;63397;6731;3920;4862
Wittenberg;Landkreis;92991;75207;7184;3429;6399
Dessau;Stat. Region;;;;;
Dessau;Kreisfreie Stadt;;;;;
Anhalt-Zerbst;Landkreis;;;;;
Bernburg;Landkreis;;;;;
Bitterfeld;Landkreis;;;;;
Köthen;Landkreis;;;;;
Wittenberg;Landkreis;;;;;
Halle;Stat. Region;;;;;
Halle (Saale);Kreisfreie Stadt;;;;;
Burgenlandkreis;;;;;;
Mansfelder Land;Landkreis;;;;;
Merseburg-Querfurt;Landkreis;;;;;
Saalkreis;;;;;;
Sangerhausen;Landkreis;;;;;
Weiﬂenfels;Landkreis;;;;;
Magdeburg;Stat. Region;;;;;
Magdeburg;Kreisfreie Stadt;;;;;
Aschersleben-Staﬂfurt;Landkreis;;;;;
Bördekreis;;;;;;
Halberstadt;Landkreis;;;;;
Jerichower Land;Landkreis;;;;;
Ohrekreis;;;;;;
Stendal;Landkreis;;;;;
Quedlinburg;Landkreis;;;;;
Schönebeck;Landkreis;;;;;
Wernigerode;Landkreis;;;;;
Altmarkkreis Salzwedel;Landkreis;;;;;
Thüringen;Bundesland;1466939;1184512;109674;60560;100081
Erfurt;Kreisfreie Stadt;114709;96901;8839;1201;6847
Gera;Kreisfreie Stadt;52713;45760;3202;754;2684
Jena;Kreisfreie Stadt;51681;45012;2933;456;2958
Suhl;Kreisfreie Stadt;24123;20424;1569;352;1615
Weimar;Kreisfreie Stadt;33513;29074;1960;268;2013
Eisenach;Kreisfreie Stadt;25496;21686;1561;431;1561
Eichsfeld;Landkreis;76735;59896;6929;4349;4944
Nordhausen;Landkreis;57383;47124;3662;2247;3808
Wartburgkreis;;92290;73542;6012;5174;6920
Unstrut-Hainich-Kreis;;71614;56618;6264;3290;4772
Kyffhäuserkreis;;55712;44385;3588;3098;4141
Schmalkalden-Meiningen;Landkreis;95365;76045;7448;4514;6564
Gotha;Landkreis;92837;75737;7154;3049;6055
Sömmerda;Landkreis;51050;40194;4339;2394;3667
Hildburghausen;Landkreis;50188;39275;3630;3350;3524
Ilm-Kreis;;71874;58474;5119;2445;5267
Weimarer Land;Landkreis;61628;48045;5545;2844;4681
Sonneberg;Landkreis;42541;34772;2716;1742;3025
Saalfeld-Rudolstadt;Landkreis;76683;60204;5799;4088;5876
Saale-Holzland-Kreis;;62976;49320;4766;3823;4441
Saale-Orla-Kreis;;65764;50304;5268;5039;4631
Greiz;Landkreis;77549;60390;6823;4013;5587
Altenburger Land;Landkreis;62515;51330;4548;1639;4500
